Sort on exam 1
1 0 19 53
3 1 17 63
2 1 18 61
5 2 15 26
4 2 16 60
7 3 13 94
6 3 14 19
9 4 11 44
8 4 12 90
11 5 9 3
10 5 10 21
13 6 7 25
12 6 8 3
15 7 5 46
14 7 6 4
17 8 3 64
16 8 4 29
19 9 1 63
18 9 2 71
20 10 0 8

Sort on exam 2
20 10 0 8
19 9 1 63
18 9 2 71
17 8 3 64
16 8 4 29
15 7 5 46
14 7 6 4
13 6 7 25
12 6 8 3
11 5 9 3
10 5 10 21
9 4 11 44
8 4 12 90
7 3 13 94
6 3 14 19
5 2 15 26
4 2 16 60
3 1 17 63
2 1 18 61
1 0 19 53

Sort on sum of exams
14 7 6 4
12 6 8 3
11 5 9 3
20 10 0 8
10 5 10 21
6 3 14 19
13 6 7 25
16 8 4 29
5 2 15 26
15 7 5 46
9 4 11 44
1 0 19 53
19 9 1 63
17 8 3 64
4 2 16 60
2 1 18 61
3 1 17 63
18 9 2 71
8 4 12 90
7 3 13 94

